id,title,price,discount,thumbnail,description,category_id,url,discount_rate,brand,quantity_sold,timestamp
134318997,"SET Khẩu Trang KF94 Hàn Quốc, 4 Lớp, 50 Cái",40000,40000,https://salt.tikicdn.com/ts/product/d1/dd/fb/1bf41bdc0b255c1e13c593454915bdb4.jpg,"CÔNG DỤNG VÀ ĐẶC ĐIỂM của khẩu trang KF94:Chặn được bụi mịn PM2.5, khói, khí thải, ô nhiễm không khí từ môi trường xung quanhNgăn được vi khuẩn, virus, các bệnh lây qua đường hô hấp nhờ lớp lọc kháng ...",6,https://tiki.vn/product-p134318997.html?spid=134318999,0,OEM,4173,5/11/2024 13:05
75523405,"Combo 3 Tinh Dầu Sả Chanh + Tinh Dầu Bạc Hà + Tinh Dầu Oải Hương (Lavender) - Tinh Dầu Xông Phòng Nguyên Chất Giúp Thư Giãn, Đuổi Muỗi Và Thơm Phòng (3 chai 10ML)",176000,118000,https://salt.tikicdn.com/ts/product/05/5c/4e/f421195819cdc7d31401c3f17e2edcd6.jpg,"Combo 3 Tinh Dầu Sả Chanh (10ML) + Tinh Dầu Bạc Hà (10ML) + Tinh Dầu Lavender (10ML) - mang đến cho bạn không gian sống thoải mái với các mùi hương giúp giảm stress, lấy lại sự an tĩnh.Tinh Dầu Thiên ...",6,https://tiki.vn/product-p75523405.html?spid=75523406,33,TIDAMO Tinh Dầu Số 1,2861,5/11/2024 13:05
121485363,[Coupon giảm 50K]Bàn Chải Điện P/S S100 PRO Trắng Răng Công Nghệ Sóng Âm Xanh Chải Sạch Mảng Bám Tới 10X 1 bộ,1276370,789000,https://salt.tikicdn.com/ts/product/53/74/76/581598fd9576a526e0a7e7b338042ccd.jpg,"Đặc điểm vượt trộiCông nghệ sóng âm tiên tiến tạo nên các hạt siêu bọtMicrobubble, sạch hiệu quả mà vẫn dịu nhẹ cho nướuGấp 100 lần nhịp chải so với việc chải răng thông thườngCơ chế chải răng th...",6,https://tiki.vn/product-p121485363.html?spid=121485364,38,P/S,4004,5/11/2024 13:05
385654,Bao cao su Durex Performa 3 bao,77000,66900,https://salt.tikicdn.com/media/catalog/producttmp/08/25/53/0f33a1b28384db3c7e2056d8ccce8220.jpg,"Cuộc sống tình dục của bạn rất quan trọng. Tình dục là bản năng và nhu cầu tự nhiên của con người, ngoài chức năng duy trì nòi giống thì đời sống tình dục viên mãn còn mang nhiều lợi ích cho sức khỏe....",6,https://tiki.vn/product-p385654.html?spid=85603,13,Durex,8440,5/11/2024 13:05
91565733,Chỉ nha khoa SGS nhập khẩu Hàn Quốc - 500D hương bạc hà mới,70000,35000,https://salt.tikicdn.com/ts/product/9f/10/0b/d5bf6624a5e6400b4bc61679b15b9ec2.jpg,Chỉ nha khoa SGS nhập khẩu Hàn Quốc - 500D hương bạc hàLưu ý khi chọn chỉ nha khoa:Chỉ nha khoa 500D dành cho người có khe răng hẹp hoặc lần đầu sử dụng chỉ nha khoaChỉ nha khoa 840D dành cho người...,6,https://tiki.vn/product-p91565733.html?spid=91565734,50,SGS,440,5/11/2024 13:05
631525,Sữa rửa mặt cải thiện dấu hiệu lão hóa dạng kem Hada Labo Pro-Aging Retinol B3 Cleanser 80g,89000,80000,https://salt.tikicdn.com/ts/product/da/9c/43/4b746042e2662e080c942f45db59fb1e.jpg,"Thông tin sản phẩm:1. Thành phần sản phẩm:- Sữa rửa mặt cải thiện lão hóa Hada Labo với bọt kem mềm mịn chứa thành phần làm sạch có nguồn gốc tự nhiên lấy sạch bụi bẩn, bã nhờn trong lỗ chân lông và...",6,https://tiki.vn/product-p631525.html?spid=10862507,10,Hada Labo,12140,5/11/2024 13:05
74527291,Máy Xông Tinh Dầu Tặng 3 Tinh Dầu Sả Chanh + Bạc Hà + Quế. Máy Khuếch Tán Tinh Dầu Có Remote Điều Khiển Từ Xa Chuyên Dụng Xông Tinh Dầu Cho Phòng Lớn,656000,328000,https://salt.tikicdn.com/ts/product/0b/64/ea/71d28e4ef6b4393a74ffea991331da8a.jpg,Máy Xông Tinh Dầu Cao Cấp Tặng 3 Chai Tinh Dầu Sả Chanh + Bạc Hà + Quế. Máy Khuếch Tán Tinh Dầu Có Remote Điều Khiển Từ Xa Chuyên Dụng Xông Tinh DầuAuto hẹn giờ tự tắt. Điều khiển từ xa bằng Remote T...,6,https://tiki.vn/product-p74527291.html?spid=74527297,50,TIDAMO Tinh Dầu Số 1,2093,5/11/2024 13:05
186434710,Túi chườm nóng thảo dược giảm đau nhức mỏi mắt dùng lò vi sóng - Hapaku,198000,198000,https://salt.tikicdn.com/ts/product/0c/92/0d/abf0116fbdd615d4a2349b17f61d58d9.png,"Túi chườm thảo dược dùng cho vùng mắt là sản phẩm kết hợp các loại thảo dược tự nhiên truyền thống, có tác dụng làm giảm nhức mỏi mắt do làm việc nhiều với máy vi tính, giúp đầu óc thư giãn, mang đến ...",6,https://tiki.vn/product-p186434710.html?spid=14423563,0,Hapaku,4667,5/11/2024 13:05
90683425,Bao Cao Su Durex Jeans,49000,38000,https://salt.tikicdn.com/ts/product/83/40/a1/d9cf42a02fe2755db70dfc2ad8ce8180.jpg,""" Từ năm 1929 đến nay, Durex vẫn luôn sản xuất bao cao su từ những chất liệu tốt nhất, đảm bảo chất lượng cao. Trong hơn 90 năm qua, Durex không ngừng nghiên cứu và đa dạng hóa các dòng sản phẩm ngày ...",6,https://tiki.vn/product-p90683425.html?spid=153387460,22,Durex,182,5/11/2024 13:05
50699284,Nước tẩy trang Công Nghệ Micella Bioderma Sensibio H2O - 500ml,525000,415000,https://salt.tikicdn.com/ts/product/1f/da/72/b63d041d53c0aa8f7456efdfaaeb15d2.png,"Bioderma Sensibio H2O là dung dịch làm sạch và tẩy trang đầu tiên trên thế giới ứng dụng công nghệ micellar, giúp làm sạch đến 99% bụi bẩn, dầu thừa và lớp trang điểm, đồng thời vẫn tôn trọng hàng rào...",6,https://tiki.vn/product-p50699284.html?spid=142657941,21,BIODERMA,86,5/11/2024 13:05
